DQNModel/eps,DQNModel/loss,DQNModel/td_error,DQNModel/q_values/mean,DQNModel/q_values/max,DQNModel/q_values/min,Evaluation/reward/min,Evaluation/reward/mean,Evaluation/reward/median,reward,Evaluation/reward/max,Evaluation/length/min,Evaluation/length/mean,Evaluation/length/max,replay/Buffer/size,Online/total_steps,Online/episode_completed,Online/episodic_return,Online/episodic_length,epoch,step
0.9749612212181091,0.00330511387437582,-0.0006891643861308694,0.20216836035251617,1.047315001487732,-0.0010799128795042634,0,0.0,0.0,0.0,0,6,6.0,6,10000,10000,904,0.6,12.0,0,4999
0.9248932600021362,0.005860081408172846,-0.00044769872329197824,0.5148080587387085,1.2494713068008423,-0.07561507076025009,1,2.5,2.0,2.5,5,16,33.0,60,15000,15000,1323,1.3,19.2,1,9999
0.8748254179954529,0.0050572240725159645,-0.00013577252684626728,1.009137749671936,1.9606068134307861,-0.06882983446121216,0,1.5,2.0,1.5,3,6,22.4,38,20000,20000,1698,0.5,11.0,2,14999
0.8247575163841248,0.00892010610550642,0.00013200148532632738,1.318798303604126,2.3444137573242188,-0.11622977256774902,3,3.3,3.0,3.3,4,38,41.0,48,25000,25000,2032,0.5,11.2,3,19999
0.7746894359588623,0.011783385649323463,0.000670648121740669,1.8009045124053955,2.8911936283111572,-0.1274787038564682,3,3.9,3.5,3.9,6,38,48.2,74,30000,30000,2344,0.4,10.0,4,24999
0.724621593952179,0.01554336678236723,0.0011008756700903177,2.0686700344085693,3.2297797203063965,-0.1322432905435562,2,3.0,3.0,3.0,4,28,38.0,48,35000,35000,2651,0.3,9.0,5,29999
0.6745536923408508,0.01853606477379799,0.0026483130641281605,2.4277708530426025,3.646732807159424,-0.15729688107967377,2,3.9,4.0,3.9,6,28,48.0,70,40000,40000,2951,0.4,10.0,6,34999
0.6244857311248779,0.023031679913401604,0.0034783913288265467,2.7537589073181152,4.061222076416016,-0.1680486500263214,0,5.4,6.0,5.4,9,6,64.2,104,45000,45000,3236,1.3,19.6,7,39999
0.5744178891181946,0.025884900242090225,0.004333467688411474,3.0296270847320557,4.425467014312744,-0.20292404294013977,3,3.7,3.0,3.7,6,38,45.8,72,50000,50000,3469,2.8,35.8,8,44999
0.5243499875068665,0.028421025723218918,0.005600438918918371,3.3212151527404785,4.839833736419678,-0.18934425711631775,2,5.8,5.5,5.8,9,26,69.2,104,55000,55000,3674,2.1,28.8,9,49999
