DQNModel/eps,DQNModel/loss,DQNModel/td_error,DQNModel/q_values/mean,DQNModel/q_values/max,DQNModel/q_values/min,Evaluation/reward/min,Evaluation/reward/mean,Evaluation/reward/median,reward,Evaluation/reward/max,Evaluation/length/min,Evaluation/length/mean,Evaluation/length/max,replay/Buffer/size,Online/total_steps,Online/episode_completed,Online/episodic_return,Online/episodic_length,epoch,step
0.9749612212181091,0.007347830105572939,-0.0008083956781774759,0.221395805478096,1.0184597969055176,0.020267819985747337,1,2.9,3.0,2.9,5,17,21.3,38,10000,10000,201,5.3,80.5,0,4999
0.9248932600021362,0.009453481063246727,-0.0007621358963660896,0.7934474349021912,1.9568549394607544,0.1001928299665451,4,14.0,14.0,14.0,23,38,141.0,279,15000,15000,302,4.5,58.5,1,9999
0.8748254179954529,0.01297405082732439,-0.0005358485504984856,1.5652587413787842,2.938555955886841,0.27459385991096497,5,16.6,19.5,16.6,23,28,163.1,264,20000,20000,388,6.3,67.3,2,14999
0.8247575163841248,0.017217101529240608,1.9389628505450673e-05,2.474660634994507,3.969290256500244,0.4890877902507782,3,20.6,22.5,20.6,37,17,215.6,316,25000,25000,455,10.4,125.8,3,19999
0.7746894359588623,0.018351735547184944,8.564107702113688e-05,3.3500382900238037,4.806772708892822,0.7069806456565857,10,26.2,23.0,26.2,70,56,255.1,593,30000,30000,549,4.1,39.2,4,24999
0.724621593952179,0.020464271306991577,0.0003238268254790455,4.297256946563721,5.816893100738525,0.8579950332641602,3,22.8,21.0,22.8,71,17,205.4,651,35000,35000,626,8.3,68.0,5,29999
0.6745536923408508,0.021581092849373817,-7.637082308065146e-05,5.224709987640381,6.78630256652832,0.9206507802009583,12,23.5,22.5,23.5,46,87,247.5,436,40000,40000,697,8.9,74.8,6,34999
0.6244857311248779,0.024301044642925262,4.6374803787330166e-05,6.110385417938232,7.6909966468811035,1.0749324560165405,20,41.2,27.0,41.2,95,166,355.5,798,45000,45000,762,9.3,79.1,7,39999
0.5744178891181946,0.023530613631010056,0.0006520664901472628,6.82346773147583,8.379419326782227,1.1593818664550781,10,20.8,23.0,20.8,23,77,225.9,284,50000,50000,823,9.1,87.9,8,44999
0.5243499875068665,0.026132574304938316,0.0017170024802908301,7.45352029800415,9.14948844909668,1.2366348505020142,13,29.9,23.0,29.9,47,99,269.3,471,55000,55000,886,6.8,50.5,9,49999
0.47428202629089355,0.026134587824344635,0.0008146286127157509,7.952432155609131,9.635411262512207,1.2154477834701538,3,20.1,22.0,20.1,47,17,184.1,367,60000,60000,937,9.6,74.7,10,54999
0.42421412467956543,0.027206549420952797,0.001239545876160264,8.366345405578613,10.079365730285645,1.218168020248413,3,25.7,30.5,25.7,50,18,211.9,457,65000,65000,992,14.4,118.3,11,59999
0.3741462230682373,0.029846306890249252,0.0027634399011731148,8.863384246826172,10.630693435668945,1.2812293767929077,20,23.7,23.0,23.7,39,157,241.1,326,70000,70000,1044,10.8,74.9,12,64999
0.3240783214569092,0.030600402504205704,0.0028280082624405622,9.203174591064453,11.023089408874512,1.2384871244430542,11,29.2,30.5,29.2,46,56,246.8,468,75000,75000,1088,15.0,134.7,13,69999
0.27401041984558105,0.030098620802164078,0.003916593734174967,9.47066879272461,11.356797218322754,1.2103841304779053,21,36.8,24.5,36.8,71,195,338.6,641,80000,80000,1125,15.1,100.2,14,74999
